latitude wgs84,longitude wgs84,site,water body,uom,quantity,quantity type,collection method,author,series id,url json,url csv
46.369758,10.955575,Cavizzana,fiume Noce,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32116,https://www.floods.it/api/v1/monitoring/32116.json,https://www.floods.it/api/v1/monitoring/32116.csv
45.915404,10.621895,Cimego,fiume Chiese,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11801,https://www.floods.it/api/v1/monitoring/11801.json,https://www.floods.it/api/v1/monitoring/11801.csv
45.915279,10.621964,Cimego,fiume Chiese,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18729,https://www.floods.it/api/v1/monitoring/18729.json,https://www.floods.it/api/v1/monitoring/18729.csv
45.87722,10.594679,Condino Chiese,fiume Chiese,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31945,https://www.floods.it/api/v1/monitoring/31945.json,https://www.floods.it/api/v1/monitoring/31945.csv
45.8775,10.594444,Condino Chiese,fiume Chiese,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42432,https://www.floods.it/api/v1/monitoring/42432.json,https://www.floods.it/api/v1/monitoring/42432.csv
46.327128,10.880224,Dimaro,torrente Meledrio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30872,https://www.floods.it/api/v1/monitoring/30872.json,https://www.floods.it/api/v1/monitoring/30872.csv
46.325604,10.861681,Dimaro Rotian,rio Rotian,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,1016114,https://www.floods.it/api/v1/monitoring/1016114.json,https://www.floods.it/api/v1/monitoring/1016114.csv
45.963757,10.907916,Dro,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31942,https://www.floods.it/api/v1/monitoring/31942.json,https://www.floods.it/api/v1/monitoring/31942.csv
45.963611,10.908056,Dro,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42433,https://www.floods.it/api/v1/monitoring/42433.json,https://www.floods.it/api/v1/monitoring/42433.csv
46.174121,11.829868,Fiera di Primiero,torrente Cismon,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11768,https://www.floods.it/api/v1/monitoring/11768.json,https://www.floods.it/api/v1/monitoring/11768.csv
