id_sito,indirizzo,comune,comuni_serviti,descrizione,longitude,latitude,altezza_mslm,nome,recettore
SP,Loc. Pozza fraz. Borzago,022179,"['022029', '022018', '022184', '022179']",Impianto di depurazione,10.733171,46.093457,634,SPIAZZO,fiume Sarca
SS,Loc. S. Massenza,022215,"['022132', '022215']",Impianto di depurazione,10.986264,46.069431,245,SANTA MASSENZA,lago di S.Massenza
ST,Zona Industriale,022183,"['022183', '022021', '022066', '022045', '022057', '022012', '022028', '022149']",Impianto di depurazione,10.558226,45.839862,380,STORO,rio Lora
SZ,Loc. S. Martino,022174,"['022174', '022201']",Impianto di depurazione,11.806762,46.245861,1384,S.MARTINO DI CASTROZZA,torrente Cismon
TA,Loc. Mulini,022186,"['022186', '022067', '022175', '022173', '022206', '022125', '022187', '022207', '022214']",Impianto di depurazione,11.061022,46.316910,370,TAIO,canale acque bianche - torrente Noce
TE,Loc. Val,022196,"['022147', '022226', '022134', '022196', '022118']",Impianto di depurazione,11.511440,46.284949,885,TESERO,torrente Avisio
TG,Loc. Peltreri,022193,['022193'],Impianto di depurazione,11.147153,45.877924,740,TERRAGNOLO,torrente Leno
TM,Strada per Bragone,022229,['022229'],Impianto di depurazione,10.674433,45.851204,,TREMALZO,rio Nero
TN,"Lung'Adige Braille, 24",022205,"['022205', '022061', '022089', '022139', '022009', '022192']",Impianto di depurazione,11.109661,46.083676,191,TRENTO NORD,fiume Adige
TS,"Via Ragazzi del 99, 39",022205,['022205'],Impianto di depurazione,11.124081,46.037355,185,TRENTO SUD,fiume Adige
VA,Loc. Campagna,022240,"['022221', '022022', '022049', '022165', '022178', '022188', '022043', '022099', '022171', '022185', '022189', '022156', '022129']",Impianto di depurazione,11.512277,46.049110,341,VILLA AGNEDO,roggia di Scurelle
VE,Loc. Malga Laghetto,022102,"['022034', '022102', '022104', '022109']",Impianto di depurazione,11.300908,45.950583,1130,MALGA LAGHETTO,rio Torto
VL,Loc. Molina,022210,['022210'],Impianto di depurazione,11.099603,45.797048,512,VALLARSA,torrente Leno
